GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME_WIN_PRED
2021-11-15,Timberwolves,Suns,2021,96,0.365,0.778,0.295,18,54,99,0.376,0.778,0.226,21,52,0,0
2021-11-15,Thunder,Heat,2021,90,0.41,0.7,0.366,26,42,103,0.451,0.846,0.45,22,45,0,0
2021-11-15,Trail Blazers,Raptors,2021,118,0.561,0.714,0.444,25,39,113,0.461,0.889,0.455,20,39,1,1
2021-11-15,Lakers,Bulls,2021,103,0.456,0.806,0.188,19,43,121,0.551,0.727,0.441,31,36,0,0
2021-11-14,Lakers,Spurs,2021,114,0.518,0.765,0.484,28,46,106,0.444,0.667,0.444,28,43,1,1
2021-11-14,Hawks,Bucks,2021,120,0.485,0.846,0.429,21,51,100,0.452,0.625,0.341,24,30,1,1
2021-11-14,Hornets,Warriors,2021,106,0.477,0.667,0.389,23,39,102,0.422,0.68,0.231,31,49,1,1
2021-11-14,Rockets,Suns,2021,89,0.412,0.667,0.219,19,48,115,0.433,0.85,0.35,19,52,0,0
2021-11-14,Thunder,Nets,2021,96,0.4,0.909,0.311,20,44,120,0.5,0.952,0.419,31,44,0,0
2021-11-14,Nuggets,Trail Blazers,2021,124,0.522,0.786,0.475,29,49,95,0.438,0.923,0.333,22,36,1,1
2021-11-14,Clippers,Bulls,2021,90,0.358,1,0.324,16,44,100,0.442,0.929,0.379,19,45,0,0
2021-11-13,Jazz,Heat,2021,105,0.412,0.72,0.321,23,38,111,0.494,0.875,0.394,23,48,0,0
2021-11-13,Pacers,76ers,2021,118,0.573,0.667,0.5,33,37,113,0.427,0.862,0.522,16,46,1,1
2021-11-13,Magic,Wizards,2021,92,0.337,0.85,0.325,21,44,104,0.5,0.8,0.343,29,48,0,0
2021-11-13,Pelicans,Grizzlies,2021,112,0.481,0.88,0.483,29,37,101,0.432,0.81,0.333,21,39,1,1
2021-11-13,Raptors,Pistons,2021,121,0.506,0.645,0.382,21,39,127,0.544,0.867,0.429,34,34,0,0
2021-11-13,Cavaliers,Celtics,2021,91,0.383,0.864,0.263,17,39,89,0.423,0.944,0.261,20,47,1,1
2021-11-13,Clippers,Timberwolves,2021,129,0.535,0.778,0.4,35,57,102,0.392,0.688,0.306,25,41,1,1
2021-11-12,Hornets,Knicks,2021,104,0.433,0.667,0.278,25,49,96,0.387,0.611,0.371,17,51,1,1
2021-11-12,Celtics,Bucks,2021,122,0.49,0.889,0.293,22,53,113,0.449,0.818,0.34,23,39,1,1
2021-11-12,Cavaliers,Pistons,2021,98,0.476,0.667,0.341,27,40,78,0.367,0.846,0.3,18,43,1,1
2021-11-12,Rockets,Trail Blazers,2021,92,0.4,0.63,0.219,13,49,104,0.391,0.806,0.306,21,52,0,0
2021-11-12,Grizzlies,Suns,2021,94,0.378,0.565,0.212,19,59,119,0.489,1,0.486,28,46,0,0
2021-11-12,Pelicans,Nets,2021,112,0.489,0.813,0.406,26,43,120,0.5,0.741,0.529,27,34,0,0
2021-11-12,Thunder,Kings,2021,105,0.424,0.733,0.333,13,52,103,0.4,0.765,0.341,20,49,1,1
2021-11-12,Spurs,Mavericks,2021,109,0.488,0.7,0.433,30,41,123,0.46,0.684,0.4,30,48,0,0
2021-11-12,Nuggets,Hawks,2021,105,0.444,0.75,0.286,26,49,96,0.409,0.714,0.179,20,50,1,1
2021-11-12,Warriors,Bulls,2021,119,0.484,0.875,0.326,27,47,93,0.436,0.773,0.296,18,38,1,1
2021-11-12,Lakers,Timberwolves,2021,83,0.354,0.8,0.22,17,44,107,0.457,0.75,0.324,24,54,0,0
2021-11-11,76ers,Raptors,2021,109,0.455,0.947,0.324,29,39,115,0.438,1,0.424,25,47,0,0
2021-11-11,Jazz,Pacers,2021,100,0.47,0.565,0.281,22,37,111,0.448,0.737,0.355,19,53,0,0
2021-11-11,Clippers,Heat,2021,112,0.473,0.882,0.297,20,42,109,0.443,0.824,0.22,18,50,1,1
2021-11-10,Cavaliers,Wizards,2021,94,0.461,0.714,0.29,21,40,97,0.417,1,0.357,25,49,0,0
2021-11-10,Magic,Nets,2021,90,0.38,0.667,0.121,19,49,123,0.505,0.882,0.432,29,49,0,0
2021-11-10,Celtics,Raptors,2021,104,0.447,0.667,0.345,21,44,88,0.429,0.842,0.24,20,41,1,1
2021-11-10,Knicks,Bucks,2021,100,0.434,0.706,0.432,19,38,112,0.444,0.667,0.52,29,50,0,0
2021-11-10,Rockets,Pistons,2021,104,0.427,0.647,0.353,17,42,112,0.433,0.667,0.333,23,49,0,0
2021-11-10,Bulls,Mavericks,2021,117,0.506,0.857,0.484,26,46,107,0.458,0.792,0.364,23,43,1,1
2021-11-10,Grizzlies,Hornets,2021,108,0.421,0.6,0.237,27,57,118,0.456,0.875,0.417,32,49,0,0
2021-11-10,Pelicans,Thunder,2021,100,0.351,0.719,0.257,24,50,108,0.425,0.8,0.294,23,56,0,0
2021-11-10,Spurs,Kings,2021,136,0.533,0.645,0.563,34,43,117,0.516,0.813,0.278,20,44,1,1
2021-11-10,Nuggets,Pacers,2021,101,0.429,0.85,0.4,19,39,98,0.476,0.636,0.355,22,48,1,1
2021-11-10,Suns,Trail Blazers,2021,119,0.521,0.833,0.393,27,39,109,0.484,0.875,0.233,24,46,1,1
2021-11-10,Warriors,Timberwolves,2021,123,0.471,0.8,0.275,23,53,110,0.411,0.75,0.386,30,40,1,1
2021-11-10,Lakers,Heat,2021,120,0.5,0.625,0.474,26,50,117,0.417,0.771,0.27,26,47,1,1
2021-11-09,76ers,Bucks,2021,109,0.408,0.917,0.326,21,46,118,0.463,0.714,0.385,21,52,0,0
2021-11-09,Jazz,Hawks,2021,110,0.506,0.813,0.395,21,44,98,0.435,0.6,0.514,22,32,1,1
2021-11-09,Clippers,Trail Blazers,2021,117,0.518,0.684,0.533,25,43,109,0.473,0.75,0.378,29,43,1,1
2021-11-08,76ers,Knicks,2021,96,0.385,0.813,0.325,20,47,103,0.44,0.769,0.325,25,55,0,0
2021-11-08,Bulls,Nets,2021,118,0.469,0.85,0.29,21,56,95,0.395,0.842,0.333,19,42,1,1
2021-11-08,Grizzlies,Timberwolves,2021,125,0.5,0.846,0.393,28,51,118,0.423,0.826,0.378,23,45,1,1
2021-11-08,Mavericks,Pelicans,2021,108,0.506,0.615,0.4,27,46,92,0.425,0.818,0.265,27,39,1,1
2021-11-08,Nuggets,Heat,2021,113,0.462,0.708,0.293,28,49,96,0.397,0.84,0.361,22,37,1,1
2021-11-08,Warriors,Hawks,2021,127,0.478,0.955,0.409,31,39,113,0.463,0.769,0.395,21,35,1,1
2021-11-08,Kings,Suns,2021,104,0.451,0.769,0.417,18,46,109,0.473,0.818,0.4,28,38,0,0
2021-11-08,Lakers,Hornets,2021,126,0.484,0.714,0.406,30,51,123,0.434,0.821,0.333,23,55,1,1
2021-11-07,Raptors,Nets,2021,103,0.471,0.778,0.233,23,35,116,0.513,0.85,0.447,29,48,0,0
2021-11-07,Knicks,Cavaliers,2021,109,0.459,0.917,0.29,21,32,126,0.544,0.818,0.543,31,48,0,0
2021-11-07,Magic,Jazz,2021,107,0.494,0.818,0.375,24,39,100,0.382,0.828,0.19,21,50,1,1
2021-11-07,Wizards,Bucks,2021,101,0.506,0.615,0.407,24,42,94,0.394,0.556,0.278,17,49,1,1
2021-11-07,Kings,Pacers,2021,91,0.369,0.864,0.294,20,33,94,0.446,0.778,0.24,13,54,0,0
2021-11-07,Thunder,Spurs,2021,99,0.372,0.85,0.286,21,57,94,0.41,0.667,0.2,29,46,1,1
2021-11-07,Warriors,Rockets,2021,120,0.518,0.85,0.326,31,41,107,0.456,0.676,0.303,17,42,1,1
2021-11-07,Clippers,Hornets,2021,120,0.477,0.952,0.375,24,50,106,0.406,0.778,0.303,20,44,1,1
2021-11-06,Nuggets,Rockets,2021,95,0.404,0.824,0.225,19,45,94,0.467,0.667,0.286,19,47,1,1
2021-11-06,Heat,Jazz,2021,118,0.603,0.765,0.524,30,36,115,0.518,0.737,0.333,26,31,1,1
2021-11-06,Bulls,76ers,2021,105,0.402,0.8,0.241,20,46,114,0.531,0.789,0.5,22,41,0,0
2021-11-06,Mavericks,Celtics,2021,107,0.526,0.857,0.333,19,40,104,0.488,0.688,0.29,20,36,1,1
2021-11-06,Suns,Hawks,2021,121,0.511,0.81,0.326,26,42,117,0.433,0.87,0.394,18,50,1,1
2021-11-06,Trail Blazers,Lakers,2021,105,0.379,0.75,0.273,22,52,90,0.344,0.792,0.281,20,59,1,1
2021-11-05,Pistons,Nets,2021,90,0.379,0.722,0.324,17,44,96,0.45,0.929,0.407,25,45,0,0
2021-11-05,Magic,Spurs,2021,89,0.393,0.7,0.293,23,43,102,0.444,0.889,0.316,23,48,0,0
2021-11-05,Wizards,Grizzlies,2021,115,0.583,0.538,0.4,34,53,87,0.354,0.765,0.194,19,39,1,1
2021-11-05,Raptors,Cavaliers,2021,101,0.424,0.556,0.444,20,45,102,0.458,0.842,0.333,22,39,0,0
2021-11-05,Bucks,Knicks,2021,98,0.402,0.762,0.372,19,37,113,0.427,0.808,0.25,16,59,0,0
2021-11-05,Timberwolves,Clippers,2021,84,0.348,0.714,0.327,17,42,104,0.409,0.813,0.214,18,62,0,0
2021-11-05,Warriors,Pelicans,2021,126,0.516,0.857,0.4,36,49,85,0.352,0.75,0.25,23,42,1,1
2021-11-05,Trail Blazers,Pacers,2021,110,0.488,0.867,0.436,27,42,106,0.489,0.6,0.333,28,40,1,1
2021-11-05,Kings,Hornets,2021,140,0.552,0.846,0.5,29,56,110,0.467,0.619,0.314,29,28,1,1
2021-11-04,Pistons,76ers,2021,98,0.402,0.895,0.306,21,41,109,0.494,0.682,0.375,22,49,0,0
2021-11-04,Hawks,Jazz,2021,98,0.427,0.808,0.25,18,32,116,0.506,0.739,0.415,30,46,0,0
2021-11-04,Heat,Celtics,2021,78,0.346,0.684,0.22,18,45,95,0.397,0.85,0.39,16,46,0,0
2021-11-04,Suns,Rockets,2021,123,0.473,0.913,0.452,29,46,111,0.432,0.857,0.344,25,43,1,1
2021-11-04,Lakers,Thunder,2021,104,0.415,0.824,0.364,22,49,107,0.425,0.692,0.366,23,50,0,0
2021-11-03,Cavaliers,Trail Blazers,2021,107,0.527,0.778,0.5,29,43,104,0.444,0.647,0.351,24,39,1,1
2021-11-03,Pacers,Knicks,2021,111,0.462,0.786,0.39,26,49,98,0.414,0.778,0.208,23,46,1,1
2021-11-03,Magic,Celtics,2021,79,0.321,0.8,0.209,15,46,92,0.418,0.64,0.27,24,50,0,0
2021-11-03,76ers,Bulls,2021,103,0.494,0.714,0.429,24,35,98,0.463,0.889,0.286,19,47,1,1
2021-11-03,Wizards,Raptors,2021,100,0.436,0.8,0.25,19,44,109,0.466,0.85,0.4,17,42,0,0
2021-11-03,Nets,Hawks,2021,117,0.489,0.75,0.458,34,42,108,0.436,0.867,0.371,23,52,1,1
2021-11-03,Grizzlies,Nuggets,2021,108,0.519,0.571,0.471,28,36,106,0.473,0.923,0.296,24,44,1,1
2021-11-03,Timberwolves,Clippers,2021,115,0.457,0.938,0.35,27,39,126,0.603,0.917,0.583,33,35,0,0
2021-11-03,Spurs,Mavericks,2021,108,0.489,0.75,0.333,25,40,109,0.43,0.724,0.235,21,56,0,0
2021-11-03,Warriors,Hornets,2021,114,0.488,0.667,0.4,33,53,92,0.374,0.737,0.278,18,49,1,1
2021-11-03,Kings,Pelicans,2021,112,0.525,0.818,0.333,27,37,99,0.43,0.867,0.353,24,40,1,1
2021-11-02,Pistons,Bucks,2021,89,0.323,0.7,0.17,21,43,117,0.5,0.762,0.459,28,52,0,0
2021-11-02,Mavericks,Heat,2021,110,0.44,0.71,0.333,17,41,125,0.518,0.867,0.52,25,45,0,0
2021-11-02,Jazz,Kings,2021,119,0.439,0.704,0.292,16,59,113,0.452,0.708,0.387,24,38,1,1
2021-11-02,Suns,Pelicans,2021,112,0.524,0.944,0.346,32,42,100,0.396,0.938,0.333,21,43,1,1
2021-11-02,Lakers,Rockets,2021,119,0.527,0.75,0.24,26,43,117,0.527,0.417,0.381,27,38,1,1
2021-11-01,Hornets,Cavaliers,2021,110,0.416,0.733,0.385,27,46,113,0.433,0.684,0.321,21,49,0,0
2021-11-01,Pacers,Spurs,2021,131,0.571,0.75,0.474,37,39,118,0.528,0.714,0.5,34,36,1,1
2021-11-01,76ers,Trail Blazers,2021,113,0.518,0.875,0.361,34,34,103,0.476,0.611,0.353,21,45,1,1
2021-11-01,Hawks,Wizards,2021,118,0.458,1,0.382,24,47,111,0.477,1,0.333,27,36,1,1
2021-11-01,Celtics,Bulls,2021,114,0.438,0.75,0.455,20,38,128,0.57,0.944,0.419,30,50,0,0
2021-11-01,Knicks,Raptors,2021,104,0.461,0.75,0.421,20,41,113,0.434,0.929,0.333,24,48,0,0
2021-11-01,Grizzlies,Nuggets,2021,106,0.454,0.714,0.382,20,55,97,0.443,0.667,0.237,27,40,1,1
2021-11-01,Timberwolves,Magic,2021,97,0.371,0.579,0.275,21,47,115,0.451,0.8,0.395,21,51,0,0
2021-11-01,Clippers,Thunder,2021,99,0.38,0.737,0.357,18,51,94,0.389,0.813,0.297,17,51,1,1
2021-10-31,Mavericks,Kings,2021,105,0.444,0.65,0.324,24,45,99,0.396,0.8,0.194,20,56,1,1
2021-10-31,Hornets,Trail Blazers,2021,125,0.517,0.619,0.476,36,44,113,0.443,0.909,0.315,30,47,1,1
2021-10-31,Bucks,Jazz,2021,95,0.406,0.833,0.293,16,44,107,0.467,0.926,0.324,13,44,0,0
2021-10-31,Nets,Pistons,2021,117,0.653,0.625,0.52,30,41,91,0.405,0.682,0.364,21,29,1,1
2021-10-31,Lakers,Rockets,2021,95,0.406,0.615,0.29,22,43,85,0.421,0.517,0.214,18,55,1,1
2021-10-30,Wizards,Celtics,2021,115,0.365,0.806,0.278,19,62,112,0.411,0.88,0.077,23,54,1,1
2021-10-30,Pistons,Magic,2021,110,0.404,0.8,0.326,26,48,103,0.437,0.733,0.5,21,46,1,1
2021-10-30,Pelicans,Knicks,2021,117,0.457,0.917,0.333,30,43,123,0.519,0.8,0.576,22,37,0,0
2021-10-30,Pacers,Raptors,2021,94,0.432,0.688,0.302,25,40,97,0.424,0.667,0.344,18,48,0,0
2021-10-30,76ers,Hawks,2021,122,0.535,0.947,0.316,24,37,94,0.379,0.737,0.364,24,49,1,1
2021-10-30,Bulls,Jazz,2021,107,0.429,0.8,0.238,16,45,99,0.38,0.947,0.289,15,54,1,1
2021-10-30,Grizzlies,Heat,2021,103,0.386,0.905,0.32,26,32,129,0.523,0.842,0.568,31,50,0,0
2021-10-30,Bucks,Spurs,2021,93,0.404,0.688,0.256,20,52,102,0.411,0.708,0.226,28,49,0,0
2021-10-30,Warriors,Thunder,2021,103,0.424,0.5,0.389,30,56,82,0.349,0.762,0.205,14,45,1,1
2021-10-30,Timberwolves,Nuggets,2021,91,0.393,0.889,0.317,21,46,93,0.409,0.75,0.243,24,48,0,0
2021-10-30,Suns,Cavaliers,2021,101,0.464,0.63,0.231,27,52,92,0.396,0.857,0.318,21,47,1,1
2021-10-29,Raptors,Magic,2021,110,0.5,0.682,0.3,18,40,109,0.471,0.688,0.471,24,46,1,1
2021-10-29,Nets,Pacers,2021,105,0.447,0.756,0.231,20,50,98,0.398,0.696,0.276,20,46,1,1
2021-10-29,Heat,Hornets,2021,114,0.473,1,0.257,23,60,99,0.389,0.727,0.351,21,37,1,1
2021-10-29,Pelicans,Kings,2021,109,0.429,0.64,0.265,18,49,113,0.5,0.96,0.333,19,45,0,0
2021-10-29,Nuggets,Mavericks,2021,106,0.518,0.692,0.306,28,51,75,0.295,0.778,0.216,14,36,1,1
2021-10-29,Trail Blazers,Clippers,2021,111,0.418,0.625,0.463,21,63,92,0.391,0.563,0.357,17,43,1,1
2021-10-29,Lakers,Cavaliers,2021,113,0.548,0.9,0.444,24,42,101,0.425,0.682,0.353,28,36,1,1
2021-10-28,76ers,Pistons,2021,110,0.5,0.917,0.444,22,46,102,0.407,0.704,0.333,22,37,1,1
2021-10-28,Wizards,Hawks,2021,122,0.465,0.81,0.382,26,51,111,0.545,0.643,0.286,26,43,1,1
2021-10-28,Bulls,Knicks,2021,103,0.429,0.909,0.344,25,37,104,0.459,0.75,0.379,16,49,0,0
2021-10-28,Rockets,Jazz,2021,91,0.326,0.87,0.205,15,41,122,0.482,0.8,0.348,24,58,0,0
2021-10-28,Mavericks,Spurs,2021,104,0.461,0.308,0.4,18,45,99,0.443,0.6,0.4,21,48,1,1
2021-10-28,Warriors,Grizzlies,2021,101,0.433,0.75,0.35,29,48,104,0.402,1,0.25,25,51,0,0
2021-10-27,Magic,Hornets,2021,111,0.489,0.769,0.375,22,33,120,0.518,0.833,0.467,22,40,0,0
2021-10-27,Celtics,Wizards,2021,107,0.435,0.821,0.345,18,37,116,0.512,0.724,0.36,18,47,0,0
2021-10-27,Nets,Heat,2021,93,0.388,0.929,0.326,21,42,106,0.396,0.846,0.276,21,62,0,0
2021-10-27,Raptors,Pacers,2021,118,0.46,0.632,0.467,22,41,100,0.481,0.824,0.345,19,40,1,1
2021-10-27,Pelicans,Hawks,2021,99,0.43,0.889,0.306,24,44,102,0.417,0.824,0.267,21,55,0,0
2021-10-27,Bucks,Timberwolves,2021,108,0.411,0.762,0.275,22,43,113,0.473,0.824,0.289,29,49,0,0
2021-10-27,Thunder,Lakers,2021,123,0.5,0.759,0.405,21,42,115,0.5,0.857,0.314,29,40,1,1
2021-10-27,Suns,Kings,2021,107,0.452,0.708,0.273,23,56,110,0.442,0.733,0.395,28,40,0,0
2021-10-27,Trail Blazers,Grizzlies,2021,116,0.464,0.742,0.417,22,48,96,0.365,0.474,0.34,27,50,1,1
2021-10-27,Clippers,Cavaliers,2021,79,0.356,0.615,0.22,19,36,92,0.407,0.852,0.15,12,57,0,0
2021-10-26,Knicks,76ers,2021,112,0.471,0.933,0.432,24,45,99,0.439,0.882,0.293,24,40,1,1
2021-10-26,Thunder,Warriors,2021,98,0.419,0.824,0.353,19,42,106,0.47,0.778,0.35,30,46,0,0
2021-10-26,Mavericks,Rockets,2021,116,0.462,0.72,0.279,25,50,106,0.419,0.692,0.41,24,49,1,1
2021-10-26,Spurs,Lakers,2021,121,0.444,0.545,0.361,33,59,125,0.476,0.773,0.267,20,56,0,0
2021-10-26,Jazz,Nuggets,2021,122,0.518,0.759,0.308,20,41,110,0.506,0.667,0.357,19,35,1,1
2021-10-25,Hornets,Celtics,2021,129,0.447,0.643,0.432,26,52,140,0.495,0.84,0.38,33,53,0,0
2021-10-25,Pacers,Bucks,2021,109,0.444,0.882,0.389,23,47,119,0.482,0.839,0.344,24,42,0,0
2021-10-25,Hawks,Pistons,2021,122,0.511,0.857,0.375,24,49,104,0.44,0.833,0.273,26,36,1,1
2021-10-25,Nets,Wizards,2021,104,0.426,0.824,0.286,23,54,90,0.347,0.75,0.231,16,53,1,1
2021-10-25,Heat,Magic,2021,107,0.471,1,0.222,28,42,90,0.407,0.632,0.273,21,39,1,1
2021-10-25,Raptors,Bulls,2021,108,0.482,0.8,0.4,27,47,111,0.481,0.955,0.444,24,29,0,0
2021-10-25,Timberwolves,Pelicans,2021,98,0.344,0.778,0.3,20,41,107,0.448,0.826,0.333,19,60,0,0
2021-10-25,Nuggets,Cavaliers,2021,87,0.407,0.667,0.237,21,47,99,0.463,0.8,0.28,26,49,0,0
2021-10-25,Clippers,Trail Blazers,2021,116,0.473,0.737,0.326,37,43,86,0.376,0.778,0.216,15,47,1,1
2021-10-24,Nets,Hornets,2021,95,0.437,0.833,0.257,18,44,111,0.457,0.789,0.333,26,48,0,0
2021-10-24,Knicks,Magic,2021,104,0.37,0.68,0.271,20,52,110,0.409,0.765,0.279,22,57,0,0
2021-10-24,Rockets,Celtics,2021,97,0.427,0.792,0.438,20,40,107,0.442,0.8,0.319,22,43,0,0
2021-10-24,Thunder,76ers,2021,103,0.476,0.789,0.258,24,42,115,0.466,0.8,0.415,25,47,0,0
2021-10-24,Kings,Warriors,2021,107,0.488,0.615,0.326,26,47,119,0.443,0.833,0.351,26,43,0,0
2021-10-24,Lakers,Grizzlies,2021,121,0.536,0.682,0.533,29,36,118,0.45,0.833,0.371,25,49,1,1
2021-10-23,Cavaliers,Hawks,2021,101,0.416,0.741,0.25,23,54,95,0.384,0.6,0.294,20,54,1,1
2021-10-23,Pacers,Heat,2021,102,0.392,0.762,0.256,18,55,91,0.385,0.857,0.273,18,55,1,1
2021-10-23,Raptors,Mavericks,2021,95,0.4,0.696,0.297,17,49,103,0.418,0.722,0.333,24,50,0,0
2021-10-23,Bulls,Pistons,2021,97,0.417,0.842,0.423,24,42,82,0.386,0.6,0.179,14,53,1,1
2021-10-23,Timberwolves,Pelicans,2021,96,0.406,0.6,0.316,22,47,89,0.348,0.783,0.225,15,61,1,1
2021-10-23,Spurs,Bucks,2021,111,0.485,0.833,0.256,29,38,121,0.53,0.818,0.429,21,44,0,0
2021-10-23,Trail Blazers,Suns,2021,134,0.543,0.647,0.42,24,48,105,0.483,0.667,0.321,27,38,1,1
2021-10-23,Clippers,Grizzlies,2021,114,0.434,0.882,0.333,23,44,120,0.467,0.84,0.417,26,48,0,0
2021-10-22,Cavaliers,Hornets,2021,112,0.512,0.85,0.29,26,36,123,0.527,0.824,0.406,32,46,0,0
2021-10-22,Magic,Knicks,2021,96,0.398,0.867,0.395,24,46,121,0.5,0.529,0.444,34,38,0,0
2021-10-22,Wizards,Pacers,2021,135,0.521,0.947,0.5,24,38,134,0.536,0.75,0.441,28,42,1,1
2021-10-22,Celtics,Raptors,2021,83,0.39,0.727,0.324,19,42,115,0.42,1,0.286,22,60,0,0
2021-10-22,76ers,Nets,2021,109,0.473,0.818,0.389,17,35,114,0.466,0.833,0.316,26,47,0,0
2021-10-22,Bulls,Pelicans,2021,128,0.528,0.8,0.5,32,46,112,0.483,0.813,0.517,26,42,1,1
2021-10-22,Rockets,Thunder,2021,124,0.505,0.786,0.447,29,54,91,0.374,0.563,0.326,22,39,1,1
2021-10-22,Nuggets,Spurs,2021,102,0.512,0.625,0.3,26,41,96,0.476,0.714,0.25,24,39,1,1
2021-10-22,Lakers,Suns,2021,105,0.395,0.759,0.441,25,46,115,0.488,0.75,0.313,31,47,0,0
2021-10-22,Kings,Jazz,2021,101,0.394,0.714,0.222,20,52,110,0.411,0.87,0.381,16,51,0,0
2021-10-21,Hawks,Mavericks,2021,113,0.479,0.889,0.429,31,55,87,0.333,0.923,0.302,16,50,1,1
2021-10-21,Heat,Bucks,2021,137,0.531,0.645,0.429,28,58,95,0.381,0.655,0.286,19,38,1,1
2021-10-21,Warriors,Clippers,2021,115,0.518,0.636,0.484,27,53,113,0.438,0.714,0.35,24,39,1,1
2021-10-20,Hornets,Pacers,2021,123,0.43,0.667,0.419,29,46,122,0.467,0.875,0.362,29,51,1,1
2021-10-20,Pistons,Bulls,2021,88,0.4,0.769,0.214,17,47,94,0.43,0.867,0.304,18,48,0,0
2021-10-20,Knicks,Celtics,2021,138,0.486,0.704,0.378,27,55,134,0.41,0.739,0.368,34,56,1,1
2021-10-20,Raptors,Wizards,2021,83,0.309,0.727,0.206,14,54,98,0.444,0.808,0.185,20,51,0,0
2021-10-20,Grizzlies,Cavaliers,2021,132,0.53,1,0.424,28,53,121,0.505,0.722,0.368,38,36,1,1
2021-10-20,Timberwolves,Rockets,2021,124,0.483,0.774,0.421,26,46,106,0.455,0.682,0.333,21,41,1,1
2021-10-20,Pelicans,76ers,2021,97,0.419,0.667,0.433,28,44,117,0.518,0.8,0.52,24,47,0,0
2021-10-20,Spurs,Magic,2021,123,0.5,0.667,0.433,32,43,97,0.407,0.783,0.31,17,44,1,1
2021-10-20,Jazz,Thunder,2021,107,0.44,0.867,0.298,18,53,86,0.374,0.611,0.2,19,50,1,1
2021-10-20,Suns,Nuggets,2021,98,0.414,0.706,0.378,23,45,110,0.53,0.556,0.436,25,46,0,0
2021-10-20,Trail Blazers,Kings,2021,121,0.484,0.864,0.343,25,49,124,0.457,0.793,0.415,24,43,0,0
2021-10-19,Bucks,Nets,2021,127,0.457,0.778,0.378,25,54,104,0.44,0.565,0.531,19,44,1,1
2021-10-19,Lakers,Warriors,2021,114,0.474,0.474,0.357,21,45,121,0.441,0.833,0.359,30,50,0,0
2021-10-15,Heat,Celtics,2021,121,0.461,0.931,0.4,19,47,100,0.444,0.8,0.293,20,36,1,1
2021-10-15,Pistons,76ers,2021,112,0.487,0.829,0.333,24,47,108,0.453,0.75,0.429,20,38,1,1
2021-10-15,Pacers,Cavaliers,2021,94,0.41,0.632,0.318,26,38,110,0.525,0.565,0.406,24,50,0,0
2021-10-15,Knicks,Wizards,2021,115,0.412,0.842,0.357,24,48,113,0.494,0.655,0.4,25,47,1,1
